dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag,observed_duration_min,estimated_distance,estimated_od_duration_min,distance_source,distance,duration_min,datetime_hour,hour,weekday,is_weekend,temperature,precipitation,snow_indicator,wind_speed,visibility,taxi_reference_price,estimated_cost,fhv_price,estimated_profit,estimated_profit_rate
B02510,2019-01-01 03:38:10,2019-01-01 03:50:25,36,112,,12.25,2.7,12.35,historical_median,2.7,12.25,2019-01-01 03:00:00,3,1,0,53.4,0.02,0,13.9,10.0,14.394272743551372,8.06,13.24,5.18,0.6426799007444168
B02510,2019-01-01 11:13:58,2019-01-01 11:24:54,66,45,,10.933333333333334,1.63,7.033333333333333,historical_median,1.63,10.933333333333334,2019-01-01 11:00:00,11,1,0,58.9,0.0,0,23.5,10.0,10.7166222992133,6.592499999999999,9.86,3.2675,0.4956389836935913
B02764,2019-01-01 18:32:34,2019-01-01 18:41:38,181,181,,9.066666666666666,0.8,4.883333333333334,historical_median,0.8,9.066666666666666,2019-01-01 18:00:00,18,1,0,42.4,0.0,0,14.6,10.0,9.63651352102924,5.302,8.87,3.5679999999999996,0.6729536024141833
B02878,2019-01-02 05:28:28,2019-01-02 05:35:05,72,71,,6.616666666666666,1.47,10.35,historical_median,1.47,6.616666666666666,2019-01-02 05:00:00,5,2,0,33.4,0.0,0,9.3,10.0,9.074688564092648,5.6315,8.35,2.7184999999999997,0.4827310663233596
B02617,2019-01-02 13:32:39,2019-01-02 13:50:09,89,188,2.0,17.5,1.8,13.383333333333333,historical_median,1.8,17.5,2019-01-02 13:00:00,13,2,0,37.8,0.0,0,2.1,10.0,13.707342836504456,7.970000000000001,12.61,4.639999999999999,0.5821831869510663
B02871,2019-01-02 19:02:03,2019-01-02 19:35:24,188,67,2.0,33.35,3.625,24.675,historical_median,3.625,33.35,2019-01-02 19:00:00,19,2,0,36.1,0.0,0,7.0,10.0,22.636099716292204,12.92175,20.83,7.908249999999999,0.6120107570569001
B02765,2019-01-03 07:51:58,2019-01-03 08:03:23,61,17,,11.416666666666666,1.3,7.766666666666667,historical_median,1.3,11.416666666666666,2019-01-03 07:00:00,7,3,0,42.5,0.0,0,9.1,10.0,10.085110119393834,6.3,9.28,2.9799999999999995,0.47301587301587295
B02563,2019-01-03 14:19:00,2019-01-03 14:35:00,36,198,,16.0,1.15,6.291666666666666,historical_median,1.15,16.0,2019-01-03 14:00:00,14,3,0,45.0,0.0,0,14.7,10.0,11.940082306818985,6.9525,10.98,4.027500000000001,0.5792880258899678
B02510,2019-01-03 20:51:44,2019-01-03 21:05:45,17,97,,14.016666666666667,1.73,10.516666666666667,historical_median,1.73,14.016666666666667,2019-01-03 20:00:00,20,3,0,34.3,0.0,0,4.3,10.0,12.741172579121,7.262499999999999,11.72,4.457500000000001,0.6137693631669537
B02764,2019-01-04 07:33:31,2019-01-04 07:39:58,39,39,,6.45,1.2,8.05,historical_median,1.2,6.45,2019-01-04 07:00:00,7,4,0,31.4,0.0,0,7.1,10.0,8.25988118124718,5.291,7.6,2.3089999999999993,0.43640143640143625
B02884,2019-01-04 13:52:42,2019-01-04 14:10:46,256,209,,18.066666666666663,3.6,15.016666666666667,historical_median,3.6,18.066666666666663,2019-01-04 13:00:00,13,4,0,42.7,0.0,0,12.8,10.0,17.213813840044267,10.142,15.84,5.698,0.5618221258134491
B02764,2019-01-04 19:16:49,2019-01-04 19:24:55,80,256,,8.1,1.0,6.483333333333333,historical_median,1.0,8.1,2019-01-04 19:00:00,19,4,0,43.1,0.0,0,11.2,10.0,9.313620040717172,5.358,8.57,3.2120000000000006,0.599477416946622
B02765,2019-01-05 00:44:19,2019-01-05 00:57:26,165,29,,13.116666666666667,3.23,18.891666666666666,historical_median,3.23,13.116666666666667,2019-01-05 00:00:00,0,5,1,39.7,0.0,0,5.0,10.0,15.391076097586074,8.8255,14.16,5.3345,0.604441674692652
